timestamp,segment_label,lat,lon,current_travel_time_s,free_flow_travel_time_s,delay_s,current_speed_kmh,free_flow_speed_kmh,congestion_ratio,congestion_pct,confidence,road_class
2026-07-08T07:30:03,1126670672_4232,28.6006001827004,77.1820928857966,252,252,0,32,32,1.0,0.0,1,FRC3
2026-07-08T07:30:03,561759719_2291,28.59294187866152,77.24176231216286,542,350,192,20,31,0.645,35.5,1,FRC4
2026-07-08T07:30:03,28103851_689,28.63217208759869,77.25264536882578,119,119,0,56,56,1.0,0.0,1,FRC1
2026-07-08T07:30:03,28103855_691,28.645098649720385,77.225133941861,934,635,299,17,25,0.68,32.0,0.998292,FRC3
2026-07-08T07:30:03,164461743_6576,28.610240271935066,77.11456477684584,1169,741,428,26,41,0.634,36.6,1,FRC2
2026-07-08T07:30:03,1323848856_6096,28.677953666004512,77.32351888457204,1284,912,372,27,38,0.711,28.9,0.996843,FRC3
2026-07-08T07:30:03,578543604_2426,28.634366100009338,77.21708589997212,374,293,81,18,23,0.783,21.7,1,FRC2
2026-07-08T07:30:04,673792811_2828,28.58953088971429,77.22924463467362,1483,1038,445,21,30,0.7,30.0,1,FRC4
2026-07-08T07:30:04,570758371_7344,28.539875113345875,77.21185591776847,419,268,151,16,25,0.64,36.0,1,FRC4
2026-07-08T07:30:04,554665389_2251,28.63357788290754,77.21666995337478,374,293,81,18,23,0.783,21.7,1,FRC2
2026-07-08T07:30:04,1312775639_8926,28.56802515003752,77.23482089983911,1579,1090,489,29,42,0.69,31.0,0.999648,FRC3
2026-07-08T07:30:04,190333631_6748,28.52075524317933,77.16394251092667,581,428,153,28,38,0.737,26.3,1,FRC2
2026-07-08T07:30:04,1182578651_8607,28.55225881727412,77.11981265436167,939,483,456,17,33,0.515,48.5,1,FRC4
2026-07-08T07:30:04,1313158398_5075,28.593939119108366,77.24301321420214,689,502,187,27,37,0.73,27.0,1,FRC2
2026-07-08T07:30:04,1078203275_11815,28.598883800000195,76.90693620000262,2139,1810,329,33,39,0.846,15.4,0.827037,FRC2
2026-07-08T07:30:04,581239046_5679,28.479393967323425,77.30543679860041,775,452,323,21,36,0.583,41.7,0.949427,FRC2
